date,order_book_id,symbol,margin,contract_multiplier,last_price,SHORT_pnl,SHORT_margin,SHORT_market_value,SHORT_quantity,SHORT_avg_open_price
2022-01-04,IO2201C4900,300INDEX购4900,176891.199,100.0,79.0,-0.0,176891.199,23700.0,3.0,79.0
2022-01-04,IO2201P4900,300INDEX沽4900,157221.609,100.0,51.0,-0.0,157221.609,15300.0,3.0,51.0
2022-01-05,IO2201C4900,300INDEX购4900,161669.019,100.0,56.4,6780.0,161669.019,16920.0,3.0,79.0
2022-01-05,IO2201P4900,300INDEX沽4900,162832.959,100.0,75.8,-7440.0,162832.959,22740.0,3.0,51.0
2022-01-05,IO2202C4850,300INDEX购4850,194392.959,100.0,127.0,-0.0,194392.959,38100.0,3.0,127.0
2022-01-05,IO2202P4850,300INDEX沽4850,164896.899,100.0,94.6,-0.0,164896.899,28380.0,3.0,94.6
2022-01-06,IO2201C4900,300INDEX购4900,138433.146,100.0,36.0,12900.0,138433.146,10800.0,3.0,79.0
2022-01-06,IO2201P4900,300INDEX沽4900,168783.606,100.0,111.6,-18180.0,168783.606,33480.0,3.0,51.0
2022-01-06,IO2202C4850,300INDEX购4850,174613.146,100.0,99.6,8220.0,174613.146,29880.0,3.0,127.0
2022-01-06,IO2202P4850,300INDEX沽4850,174423.606,100.0,124.2,-8880.0,174423.606,37260.0,3.0,94.6
2022-01-06,IO2202C4800,300INDEX购4800,192843.606,100.0,124.8,-0.0,192843.606,37440.0,3.0,124.8
2022-01-06,IO2202P4800,300INDEX沽4800,162174.066,100.0,97.8,-0.0,162174.066,29340.0,3.0,97.8
2022-01-07,IO2201C4900,300INDEX购4900,132057.624,100.0,29.2,14940.0,132057.624,8760.0,3.0,79.0
2022-01-07,IO2201P4900,300INDEX沽4900,178026.954,100.0,96.4,-13620.0,178026.954,28920.0,3.0,51.0
2022-01-07,IO2202C4850,300INDEX购4850,166137.624,100.0,95.6,9420.0,166137.624,28680.0,3.0,127.0
2022-01-07,IO2202P4850,300INDEX沽4850,181806.954,100.0,111.4,-5040.0,181806.954,33420.0,3.0,94.6
2022-01-07,IO2202C4800,300INDEX购4800,363973.908,100.0,123.4,420.0,363973.908,74040.0,6.0,124.1
2022-01-07,IO2202P4800,300INDEX沽4800,167176.284,100.0,87.2,3180.0,167176.284,26160.0,3.0,97.8
2022-01-10,IO2201C4900,300INDEX购4900,136644.597,100.0,32.4,13980.0,136644.597,9720.0,3.0,79.0
2022-01-10,IO2201P4900,300INDEX沽4900,173591.067,100.0,84.0,-9900.0,173591.067,25200.0,3.0,51.0
2022-01-10,IO2202C4850,300INDEX购4850,171564.597,100.0,103.2,7140.0,171564.597,30960.0,3.0,127.0
2022-01-10,IO2202P4850,300INDEX沽4850,178091.067,100.0,96.8,-660.0,178091.067,29040.0,3.0,94.6
2022-01-10,IO2202C4800,300INDEX购4800,363142.134,100.0,129.8,-3420.0,363142.134,77880.0,6.0,124.1
2022-01-10,IO2202P4800,300INDEX沽4800,157617.537,100.0,77.0,6240.0,157617.537,23100.0,3.0,97.8
2022-01-11,IO2201C4900,300INDEX购4900,124373.403,100.0,19.6,17820.0,124373.403,5880.0,3.0,79.0
2022-01-11,IO2201P4900,300INDEX沽4900,170521.353,100.0,115.4,-19320.0,170521.353,34620.0,3.0,51.0
2022-01-11,IO2202C4850,300INDEX购4850,160613.403,100.0,79.8,14160.0,160613.403,23940.0,3.0,127.0
2022-01-11,IO2202P4850,300INDEX沽4850,174361.353,100.0,119.6,-7500.0,174361.353,35880.0,3.0,94.6
2022-01-11,IO2202C4800,300INDEX购4800,367186.806,100.0,104.0,12060.0,367186.806,62400.0,6.0,124.1
2022-01-11,IO2202P4800,300INDEX沽4800,168421.353,100.0,94.2,1080.0,168421.353,28260.0,3.0,97.8
2022-01-12,IO2201C4900,300INDEX购4900,133486.815,100.0,28.2,15240.0,133486.815,8460.0,3.0,79.0
2022-01-12,IO2201P4900,300INDEX沽4900,178553.205,100.0,73.6,-6780.0,178553.205,22080.0,3.0,51.0
2022-01-12,IO2202C4850,300INDEX购4850,166546.815,100.0,100.6,7920.0,166546.815,30180.0,3.0,127.0
2022-01-12,IO2202P4850,300INDEX沽4850,179873.205,100.0,92.0,780.0,179873.205,27600.0,3.0,94.6
2022-01-12,IO2202C4800,300INDEX购4800,350266.41,100.0,129.6,-3300.0,350266.41,77760.0,6.0,124.1
2022-01-12,IO2202P4800,300INDEX沽4800,158519.595,100.0,69.0,8640.0,158519.595,20700.0,3.0,97.8
2022-01-13,IO2201C4900,300INDEX购4900,113603.091,100.0,9.0,21000.0,113603.091,2700.0,3.0,79.0
2022-01-13,IO2201P4900,300INDEX沽4900,167447.361,100.0,139.6,-26580.0,167447.361,41880.0,3.0,51.0
2022-01-13,IO2202C4850,300INDEX购4850,150323.091,100.0,68.0,17700.0,150323.091,20400.0,3.0,127.0
2022-01-13,IO2202P4850,300INDEX沽4850,172967.361,100.0,136.6,-12600.0,172967.361,40980.0,3.0,94.6
2022-01-13,IO2202C4800,300INDEX购4800,348046.182,100.0,87.2,22140.0,348046.182,52320.0,6.0,124.1
2022-01-13,IO2202P4800,300INDEX沽4800,166067.361,100.0,108.8,-3300.0,166067.361,32640.0,3.0,97.8
2022-01-14,IO2201C4900,300INDEX购4900,93697.083,100.0,3.8,22560.0,93697.083,1140.0,3.0,79.0
2022-01-14,IO2201P4900,300INDEX沽4900,184857.573,100.0,176.2,-37560.0,184857.573,52860.0,3.0,51.0
2022-01-14,IO2202C4850,300INDEX购4850,126397.083,100.0,50.6,22920.0,126397.083,15180.0,3.0,127.0
2022-01-14,IO2202P4850,300INDEX沽4850,183957.573,100.0,166.8,-21660.0,183957.573,50040.0,3.0,94.6
2022-01-14,IO2202C4800,300INDEX购4800,294314.166,100.0,69.4,32820.0,294314.166,41640.0,6.0,124.1
2022-01-14,IO2202P4800,300INDEX沽4800,175617.573,100.0,133.0,-10560.0,175617.573,39900.0,3.0,97.8
2022-01-17,IO2201C4900,300INDEX购4900,103124.811,100.0,2.8,22860.0,103124.811,840.0,3.0,79.0
2022-01-17,IO2201P4900,300INDEX沽4900,194661.951,100.0,137.0,-25800.0,194661.951,41100.0,3.0,51.0
2022-01-17,IO2202C4850,300INDEX购4850,132164.811,100.0,55.2,21540.0,132164.811,16560.0,3.0,127.0
2022-01-17,IO2202P4850,300INDEX沽4850,191841.951,100.0,132.0,-11220.0,191841.951,39600.0,3.0,94.6
2022-01-17,IO2202C4800,300INDEX购4800,305609.622,100.0,77.0,28260.0,305609.622,46200.0,6.0,124.1
2022-01-17,IO2202P4800,300INDEX沽4800,182001.951,100.0,102.2,-1320.0,182001.951,30660.0,3.0,97.8
2022-01-17,IO2202C4750,300INDEX购4750,169221.951,100.0,101.8,-0.0,169221.951,30540.0,3.0,101.8
2022-01-18,IO2201C4900,300INDEX购4900,117862.446,100.0,3.2,22740.0,117862.446,960.0,3.0,79.0
2022-01-18,IO2201P4900,300INDEX沽4900,184118.286,100.0,92.0,-12300.0,184118.286,27600.0,3.0,51.0
2022-01-18,IO2202C4850,300INDEX购4850,148582.446,100.0,68.6,17520.0,148582.446,20580.0,3.0,127.0
2022-01-18,IO2202P4850,300INDEX沽4850,183218.286,100.0,101.0,-1920.0,183218.286,30300.0,3.0,94.6
2022-01-18,IO2202C4800,300INDEX购4800,332236.572,100.0,93.0,18660.0,332236.572,55800.0,6.0,124.1
2022-01-18,IO2202P4800,300INDEX沽4800,169674.126,100.0,77.2,6180.0,169674.126,23160.0,3.0,97.8
2022-01-18,IO2202C4750,300INDEX购4750,173558.286,100.0,123.0,-6360.0,173558.286,36900.0,3.0,101.8
2022-01-19,IO2201C4900,300INDEX购4900,109473.936,100.0,1.6,23220.0,109473.936,480.0,3.0,79.0
2022-01-19,IO2201P4900,300INDEX沽4900,172000.416,100.0,117.2,-19860.0,172000.416,35160.0,3.0,51.0
2022-01-19,IO2202C4850,300INDEX购4850,144093.936,100.0,60.0,20100.0,144093.936,18000.0,3.0,127.0
2022-01-19,IO2202P4850,300INDEX沽4850,174700.416,100.0,111.4,-5040.0,174700.416,33420.0,3.0,94.6
2022-01-19,IO2202C4800,300INDEX购4800,332827.872,100.0,82.4,25020.0,332827.872,49440.0,6.0,124.1
2022-01-19,IO2202P4800,300INDEX沽4800,167560.416,100.0,85.2,3780.0,167560.416,25560.0,3.0,97.8
2022-01-19,IO2202C4750,300INDEX购4750,181300.416,100.0,110.4,-2580.0,181300.416,33120.0,3.0,101.8
2022-01-20,IO2201C4900,300INDEX购4900,120944.082,100.0,1.8,23160.0,120944.082,540.0,3.0,79.0
2022-01-20,IO2201P4900,300INDEX沽4900,180191.352,100.0,79.0,-8400.0,180191.352,23700.0,3.0,51.0
2022-01-20,IO2202C4850,300INDEX购4850,153464.082,100.0,74.8,15660.0,153464.082,22440.0,3.0,127.0
2022-01-20,IO2202P4850,300INDEX沽4850,177131.352,100.0,87.0,2280.0,177131.352,26100.0,3.0,94.6
2022-01-20,IO2202C4800,300INDEX购4800,336262.704,100.0,100.0,14460.0,336262.704,60000.0,6.0,124.1
2022-01-20,IO2202P4800,300INDEX沽4800,161918.622,100.0,62.2,10680.0,161918.622,18660.0,3.0,97.8
2022-01-20,IO2202C4750,300INDEX购4750,176531.352,100.0,133.6,-9540.0,176531.352,40080.0,3.0,101.8
2022-01-21,IO2202C4850,300INDEX购4850,145939.533,100.0,59.2,20340.0,145939.533,17760.0,3.0,127.0
2022-01-21,IO2202P4850,300INDEX沽4850,170805.273,100.0,105.0,-3120.0,170805.273,31500.0,3.0,94.6
2022-01-21,IO2202C4800,300INDEX购4800,336999.066,100.0,83.4,24420.0,336999.066,50040.0,6.0,124.1
2022-01-21,IO2202P4800,300INDEX沽4800,163365.273,100.0,77.0,6240.0,163365.273,23100.0,3.0,97.8
2022-01-21,IO2202C4750,300INDEX购4750,184785.273,100.0,113.4,-3480.0,184785.273,34020.0,3.0,101.8
2022-01-24,IO2202C4850,300INDEX购4850,142160.736,100.0,60.8,19860.0,142160.736,18240.0,3.0,127.0
2022-01-24,IO2202P4850,300INDEX沽4850,174879.426,100.0,104.0,-2820.0,174879.426,31200.0,3.0,94.6
2022-01-24,IO2202C4800,300INDEX购4800,493262.208,100.0,83.8,24180.0,493262.208,75420.0,9.0,110.6667
2022-01-24,IO2202P4800,300INDEX沽4800,166479.426,100.0,76.4,6420.0,166479.426,22920.0,3.0,97.8
2022-01-24,IO2202C4750,300INDEX购4750,177399.426,100.0,111.4,-2880.0,177399.426,33420.0,3.0,101.8
2022-01-25,IO2202C4850,300INDEX购4850,110377.461,100.0,31.6,28620.0,110377.461,9480.0,3.0,127.0
2022-01-25,IO2202P4850,300INDEX沽4850,174802.131,100.0,188.0,-28020.0,174802.131,56400.0,3.0,94.6
2022-01-25,IO2202C4800,300INDEX购4800,396832.383,100.0,46.8,57480.0,396832.383,42120.0,9.0,110.6667
2022-01-25,IO2202P4800,300INDEX沽4800,166522.131,100.0,152.8,-16500.0,166522.131,45840.0,3.0,97.8
2022-01-25,IO2202C4750,300INDEX购4750,155557.461,100.0,64.8,11100.0,155557.461,19440.0,3.0,101.8
2022-01-26,IO2202C4850,300INDEX购4850,108526.803,100.0,33.0,28200.0,108526.803,9900.0,3.0,127.0
2022-01-26,IO2202P4850,300INDEX沽4850,196753.533,100.0,160.4,-19740.0,196753.533,48120.0,3.0,94.6
2022-01-26,IO2202C4800,300INDEX购4800,384260.409,100.0,47.6,56760.0,384260.409,42840.0,9.0,110.6667
2022-01-26,IO2202P4800,300INDEX沽4800,186193.533,100.0,127.0,-8760.0,186193.533,38100.0,3.0,97.8
2022-01-26,IO2202C4750,300INDEX购4750,148486.803,100.0,68.8,9900.0,148486.803,20640.0,3.0,101.8
2022-01-26,IO2202C4700,300INDEX购4700,166753.533,100.0,94.0,-0.0,166753.533,28200.0,3.0,94.0
2022-01-26,IO2202P4700,300INDEX沽4700,165160.263,100.0,70.6,-0.0,165160.263,21180.0,3.0,70.6
