date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2025-05-06,1006440.0,1006440.0,0.0,1.00644,1000000.0,1.0
2025-05-07,1014480.0,1014480.0,0.0,1.01448,1000000.0,1.0064
2025-05-08,1009920.0,1009920.0,0.0,1.00992,1000000.0,1.0145
2025-05-09,1011260.0,1011260.0,0.0,1.01126,1000000.0,1.0099
2025-05-12,1002800.0,1002800.0,0.0,1.0028,1000000.0,1.0113
2025-05-13,1006440.0,1006440.0,0.0,1.00644,1000000.0,1.0028
2025-05-14,996480.0,996480.0,0.0,0.99648,1000000.0,1.0064
2025-05-15,1000920.0,1000920.0,0.0,1.00092,1000000.0,0.9965
2025-05-16,1004660.0,1004660.0,0.0,1.00466,1000000.0,1.0009
2025-05-19,1006100.0,1006100.0,0.0,1.0061,1000000.0,1.0047
2025-05-20,1007040.0,1007040.0,0.0,1.00704,1000000.0,1.0061
2025-05-21,1007780.0,1007780.0,0.0,1.00778,1000000.0,1.007
2025-05-22,1007020.0,1007020.0,0.0,1.00702,1000000.0,1.0078
2025-05-23,1007660.0,1007660.0,0.0,1.00766,1000000.0,1.007
2025-05-26,1008300.0,1008300.0,0.0,1.0083,1000000.0,1.0077
2025-05-27,1008640.0,1008640.0,0.0,1.00864,1000000.0,1.0083
2025-05-28,1010480.0,1010480.0,0.0,1.01048,1000000.0,1.0086
2025-05-29,1007120.0,1007120.0,0.0,1.00712,1000000.0,1.0105
2025-05-30,1006060.0,1006060.0,0.0,1.00606,1000000.0,1.0071
2025-06-03,1013800.0,1013800.0,0.0,1.0138,1000000.0,1.0061
