date,count,mean,std,min,25%,50%,75%,max
2025-05-06,0,0,0,0,0,0,0,0
2025-05-07,0,0,0,0,0,0,0,0
2025-05-08,0,0,0,0,0,0,0,0
2025-05-09,0,0,0,0,0,0,0,0
2025-05-12,0,0,0,0,0,0,0,0
2025-05-13,0,0,0,0,0,0,0,0
2025-05-14,0,0,0,0,0,0,0,0
2025-05-15,0,0,0,0,0,0,0,0
2025-05-16,0,0,0,0,0,0,0,0
2025-05-19,0,0,0,0,0,0,0,0
2025-05-20,0,0,0,0,0,0,0,0
2025-05-21,0,0,0,0,0,0,0,0
2025-05-22,0,0,0,0,0,0,0,0
2025-05-23,0,0,0,0,0,0,0,0
2025-05-26,0,0,0,0,0,0,0,0
2025-05-27,0,0,0,0,0,0,0,0
2025-05-28,0,0,0,0,0,0,0,0
2025-05-29,0,0,0,0,0,0,0,0
2025-05-30,0,0,0,0,0,0,0,0
2025-06-03,0,0,0,0,0,0,0,0
